population,age (0-14),age (15-64),age (65-84),age (85+),male,female,non-immigrants,immigrants,recent immigrants,non pr,aboriginal,no certificate,high school,post-secondary,# of population over 15,driver+passenger,public transit,walked+bike,low income,avg household size,labour participation rate,employement rate,total cases,active cases,recovered cases,deaths,dose 1,dose 2,total dose administered,# of total outbreaks
50992.0,3425.0,42655.0,4245.0,680.0,26680.0,24300.0,31955.0,15845.0,5185.0,3220.0,1465.0,3635.0,9290.0,34640.0,47580.0,14230.0,6100.0,11580.0,8275.0,1.830769230769231,0.7453846153846153,0.6753846153846155,3705,111.0,3579.0,15.0,42079.0,5206.0,47285.0,16.0
38900.0,5085.0,29830.0,3520.0,470.0,19170.0,19725.0,30170.0,7620.0,1530.0,1100.0,1150.0,2570.0,6810.0,24440.0,33820.0,12700.0,3395.0,5395.0,4140.0,2.111111111111111,0.7488888888888889,0.6822222222222222,2132,37.0,1997.0,98.0,29825.0,5376.0,35201.0,6.0
59540.0,9445.0,43885.0,5470.0,755.0,29065.0,30490.0,46525.0,11730.0,3205.0,1295.0,1985.0,4695.0,11725.0,33700.0,50120.0,24635.0,5185.0,3155.0,6410.0,2.235714285714285,0.7557142857142857,0.6942857142857143,3010,80.0,2905.0,25.0,42362.0,7170.0,49532.0,17.0
64245.0,11305.0,45785.0,6610.0,540.0,33300.0,30940.0,55920.0,19515.0,4950.0,1390.0,4025.0,14755.0,17340.0,20845.0,52920.0,25430.0,5155.0,995.0,9750.0,2.622222222222222,0.6955555555555555,69.99333333333334,4663,181.0,4408.0,74.0,36124.0,4907.0,41031.0,19.0
50890.0,7000.0,36390.0,8595.0,890.0,25310.0,25590.0,38910.0,10845.0,2185.0,1155.0,1190.0,4055.0,10240.0,29635.0,43920.0,18800.0,3215.0,3275.0,3830.0,2.430434782608695,0.681304347826087,0.6186956521739129,1855,51.0,1769.0,35.0,27189.0,6367.0,33556.0,7.0
105190.0,15840.0,72920.0,14890.0,1585.0,52440.0,52740.0,80390.0,23025.0,5100.0,1780.0,3570.0,10865.0,25340.0,53160.0,89360.0,41580.0,7750.0,2295.0,8675.0,2.447368421052632,0.7026315789473684,0.6342105263157896,4373,169.0,4162.0,42.0,69524.0,12409.0,81933.0,29.0
86115.0,16350.0,59565.0,9445.0,745.0,43690.0,42440.0,48895.0,35850.0,9340.0,1370.0,3300.0,16815.0,23080.0,25944.6,60820.35,31840.0,6824.4,915.0,11865.0,2.988888888888889,0.6822222222222223,0.6088888888888889,7832,270.0,7538.0,24.0,49830.0,7042.0,56872.0,26.0
58890.0,11470.0,39500.0,7140.0,775.0,29025.0,29860.0,42665.0,30680.0,3020.0,1755.0,1000.0,4040.0,9970.0,33415.0,47420.0,20275.0,4320.0,1840.0,4020.0,2.7285714285714286,0.68,0.6142857142857142,2201,55.0,2131.0,15.0,42406.0,7566.0,49972.0,3.0
101290.0,22230.0,71375.0,7245.0,450.0,50355.0,50920.0,61705.0,38110.0,7730.0,1455.0,2400.0,11505.0,21455.0,46100.0,79075.0,42810.0,6845.0,1010.0,7625.0,2.877777777777778,0.7488888888888888,0.6855555555555557,6246,215.0,6010.0,21.0,70975.0,8685.0,79660.0,20.0
72285.0,10620.0,52155.0,8145.0,1370.0,36657.0,35660.0,53705.0,16440.0,3840.0,2140.0,2470.0,8665.0,15895.0,37400.0,61650.0,26355.0,6780.0,3050.0,8520.0,2.3555555555555556,0.726111111111111,0.6499999999999999,3343,133.0,3195.0,15.0,47986.0,7372.0,55358.0,23.0
111615.0,26575.0,78780.0,6010.0,240.0,55705.0,55900.0,84530.0,25850.0,6260.0,1240.0,3210.0,9040.0,21990.0,54040.0,85055.0,50265.0,5470.0,1485.0,5390.0,2.6599999999999997,0.7820000000000001,0.7170000000000001,6729,229.0,6469.0,31.0,78166.0,9876.0,88042.0,20.0
103860.0,21470.0,73810.0,7985.0,595.0,51495.0,52365.0,65075.0,37210.0,8970.0,1585.0,2585.0,9425.0,21720.0,51280.0,82395.0,40510.0,9470.0,1075.0,6705.0,2.8249999999999997,0.755,0.68,6315,207.0,6043.0,65.0,71230.0,11127.0,82357.0,15.0
92265.0,22535.0,63670.0,5710.0,360.0,46660.0,45610.0,38060.0,52250.0,14520.0,1970.0,1935.0,15185.0,21475.0,33095.0,69740.0,35085.0,8100.0,580.0,10480.0,3.6,0.734,0.656,13943,502.0,13364.0,77.0,66957.0,6407.0,73364.0,40.0
117205.0,21845.0,82380.0,11840.0,1145.0,57840.0,59355.0,70670.0,44300.0,7940.0,2200.0,1970.0,10060.0,21810.0,63504.0,95350.0,43680.0,9050.0,1405.0,8855.0,2.9285714285714284,0.7192857142857142,0.6464285714285715,5540,151.0,5357.0,32.0,79159.0,12149.0,91308.0,23.0
87725.0,18310.0,60225.0,8190.0,1025.0,42560.0,45155.0,59265.0,26726.0,5200.0,1720.0,1690.0,6670.0,14395.0,48345.0,69415.0,30890.0,6925.0,1465.0,6000.0,2.70625,0.7187499999999999,0.6487500000000002,3720,116.0,3584.0,20.0,60383.0,9902.0,70285.0,15.0
18820.0,2500.0,13720.0,2360.0,265.0,9395.0,9430.0,15540.0,2795.0,610.0,485.0,1155.0,2460.0,4140.0,9725.0,16325.0,7285.0,1225.0,975.0,2370.0,2.0,0.686,0.624,882,18.0,851.0,13.0,12972.0,2736.0,15708.0,4.0
1219827.0,226005.0,866645.0,117400.0,11890.0,609347.0,610480.0,823980.0,398791.0,89585.0,25860.0,35100.0,134440.0,256675.0,599268.6,984965.35,466370.0,95809.4,40495.0,112910.0,2.5842646958027036,0.722608575551546,4.9893150496171454,76329,2517.0,73210.0,602.0,,,,
