local health area,population,age (0-14),age (15-64),age (65-84),age (85+),male,female,non-immigrants,immigrants,recent immigrants,non pr,aboriginal,no certificate,high school,post-secondary,# of population over 15,driver+passenger,public transit,walked+bike,low income,avg household size,labour participation rate,employement rate,total cases,active cases,recovered cases,deaths,dose 1,dose 2,total dose administered,# of total outbreaks
Abbottsfield,13300.0,2605.0,8875.0,1585.0,245.0,6740.0,6565.0,10300.0,2795.0,675.0,210.0,1420.0,2750.0,3225.0,4705.0,10695.0,4590.0,770.0,170.0,2555.0,2.92,64.2,56.02,781,34.0,737.0,10.0,6904.0,1170.0,8074.0,0.0
Bonnie Doon,89895.0,10675.0,66995.0,10440.0,1780.0,45500.0,44350.0,70415.0,14965.0,3940.0,4505.0,4815.0,8565.0,19580.0,51075.0,79210.0,34375.0,7795.0,6135.0,10245.0,2.667741935483871,70.4225806451613,64.69354838709678,3639,56.0,3477.0,106.0,62581.0,11070.0,73651.0,0.0
Castle Downs,69790.0,14980.0,47605.0,6670.0,540.0,34535.0,35265.0,47365.0,21495.0,4215.0,960.0,3370.0,9875.0,16390.0,28545.0,54810.0,30020.0,3260.0,635.0,7355.0,3.065,72.09,66.84,5450,142.0,5286.0,22.0,40272.0,6698.0,46970.0,5.0
Duggan,37480.0,6240.0,26235.0,4510.0,480.0,18540.0,18915.0,22745.0,12040.0,4530.0,2690.0,1500.0,3585.0,7730.0,19915.0,31230.0,12520.0,4335.0,1140.0,5495.0,2.6166666666666667,66.49166666666667,60.42500000000001,1902,55.0,1778.0,69.0,24806.0,4735.0,29541.0,8.0
Eastwood,57240.0,6440.0,44410.0,5575.0,780.0,29965.0,27260.0,38820.0,15705.0,4410.0,2705.0,5525.0,10310.0,13385.0,27080.0,50790.0,18875.0,6220.0,4505.0,11310.0,2.6529411764705886,68.64117647058823,61.81176470588236,4123,102.0,3899.0,122.0,37871.0,5764.0,43635.0,7.0
Jasper Place,93155.0,18380.0,64780.0,8935.0,1045.0,45885.0,47270.0,64310.0,27500.0,6070.0,1350.0,4260.0,9350.0,19535.0,45880.0,74770.0,41300.0,5370.0,1205.0,5825.0,3.0121212121212118,72.93333333333332,68.38787878787879,2777,88.0,2553.0,136.0,26119.0,5130.0,31249.0,2.0
Mill Woods South & East,66245.0,13975.0,46600.0,5355.0,305.0,33395.0,32845.0,40620.0,24255.0,6785.0,1340.0,2670.0,8180.0,15990.0,28125.0,52260.0,29205.0,3665.0,500.0,5160.0,3.0733333333333333,73.66666666666669,66.84666666666666,6295,191.0,6065.0,39.0,50327.0,5509.0,55836.0,7.0
Mill Woods West,39225.0,7985.0,26510.0,4295.0,445.0,19345.0,19875.0,23925.0,14095.0,4805.0,1195.0,1935.0,5850.0,9440.0,15970.0,31250.0,14680.0,2980.0,605.0,5550.0,2.9615384615384617,67.30769230769229,60.3,3201,61.0,3096.0,44.0,28925.0,4399.0,33324.0,4.0
NE,80730.0,16475.0,56710.0,7060.0,485.0,40095.0,40620.0,55630.0,23735.0,5695.0,1355.0,6120.0,12415.0,20280.0,31540.0,64245.0,32135.0,6675.0,970.0,9140.0,2.9555555555555553,72.51111111111112,64.7851851851852,6141,161.0,5915.0,65.0,47265.0,6599.0,53864.0,6.0
Northgate,71650.0,13220.0,48735.0,8610.0,1105.0,35860.0,35775.0,47935.0,22670.0,4070.0,1020.0,4870.0,13950.0,18645.0,25840.0,58445.0,28470.0,4395.0,875.0,9195.0,3.0,67.03684210526316,60.521052631578954,5606,122.0,5410.0,74.0,45636.0,8726.0,54362.0,11.0
Rutherford,85645.0,19705.0,61825.0,3870.0,235.0,42825.0,42820.0,50735.0,32960.0,9275.0,1990.0,2165.0,6215.0,15135.0,44625.0,65930.0,39205.0,5605.0,480.0,4695.0,2.977272727272727,79.9818181818182,73.15454545454544,7348,221.0,7097.0,30.0,66911.0,8594.0,75505.0,16.0
Twin Brooks,72810.0,13615.0,49125.0,9215.0,865.0,35840.0,36990.0,47905.0,23340.0,3970.0,1570.0,1540.0,5475.0,13040.0,40665.0,59190.0,29340.0,4325.0,765.0,4605.0,3.0439999999999996,67.98,62.78799999999999,2776,65.0,2684.0,27.0,52094.0,11075.0,63169.0,8.0
West Jasper Place,41705.0,6810.0,29115.0,4980.0,795.0,20330.0,21385.0,27545.0,12845.0,4955.0,1330.0,3475.0,6180.0,10625.0,18090.0,34880.0,15870.0,3640.0,1415.0,5855.0,2.7769230769230764,69.33846153846153,63.18461538461539,5387,136.0,5224.0,27.0,67093.0,11803.0,78896.0,14.0
Woodcroft East,54135.0,5950.0,42105.0,5310.0,775.0,27885.0,26255.0,37250.0,14625.0,5295.0,2250.0,4160.0,6830.0,13090.0,28295.0,48195.0,19645.0,6485.0,4360.0,8585.0,2.727272727272727,72.4,64.72727272727273,3447,68.0,3279.0,100.0,34093.0,6118.0,40211.0,10.0
Woodcroft West,28525.0,4910.0,20250.0,2900.0,445.0,14440.0,14055.0,21730.0,6160.0,1865.0,625.0,2130.0,4015.0,6430.0,13145.0,23585.0,11695.0,1805.0,800.0,3130.0,2.821428571428572,73.95714285714287,67.63571428571427,1701,37.0,1645.0,19.0,19757.0,3343.0,23100.0,13.0
City Of Edmonton,901530.0,161965.0,639875.0,89310.0,10325.0,451180.0,450245.0,607230.0,269185.0,70555.0,25095.0,49955.0,113545.0,202520.0,423495.0,739485.0,361925.0,67325.0,24560.0,98700.0,2.704487215254174,66.18490574274409,60.13257776352729,60473,1532.0,58052.0,889.0,610654.0,100733.0,711387.0,111.0
